percent,reads_clade,reads_taxon,rank,taxid,name,db_name
0.09,9,0,C,1280412,Conoidasida,pluspf
0.09,9,0,C1,5796,Coccidia,pluspf
0.09,9,0,O,75739,Eucoccidiorida,pluspf
0.09,9,0,O1,423054,Eimeriorina,pluspf
0.09,9,1,F,5809,Sarcocystidae,pluspf
0.08,8,0,G,5810,Toxoplasma,pluspf
0.08,8,0,S,5811,Toxoplasma gondii,pluspf
0.08,8,8,S1,508771,Toxoplasma gondii ME49,pluspf
0.04,4,1,R4,33634,Stramenopiles,pluspf
0.02,2,0,R5,2696291,Ochrophyta,pluspf
0.02,2,0,P,2836,Bacillariophyta,pluspf
0.02,2,0,C,33849,Bacillariophyceae,pluspf
0.02,2,0,C1,33850,Bacillariophycidae,pluspf
0.02,2,0,O,38748,Naviculales,pluspf
0.02,2,0,F,38749,Phaeodactylaceae,pluspf
0.02,2,0,G,2849,Phaeodactylum,pluspf
0.02,2,0,S,2850,Phaeodactylum tricornutum,pluspf
0.02,2,2,S1,556484,Phaeodactylum tricornutum CCAP 1055/1,pluspf
0.01,1,0,P,4762,Oomycota,pluspf
0.01,1,0,C,3418804,Peronosporomycetes,pluspf
0.01,1,0,O,4776,Peronosporales,pluspf
0.01,1,0,F,4777,Peronosporaceae,pluspf
0.01,1,0,G,4778,Bremia,pluspf
0.01,1,1,S,4779,Bremia lactucae,pluspf
0.01,1,0,R4,543769,Rhizaria,pluspf
0.01,1,0,P,136419,Cercozoa,pluspf
0.01,1,0,C,29197,Chlorarachniophyceae,pluspf
0.01,1,0,G,227085,Bigelowiella,pluspf
0.01,1,1,S,227086,Bigelowiella natans,pluspf
0.03,3,0,C,3027,Cryptophyceae,pluspf
0.03,3,0,O,589350,Cryptomonadales,pluspf
0.03,3,0,F,589351,Hemiselmidaceae,pluspf
0.03,3,0,G,77924,Hemiselmis,pluspf
0.03,3,3,S,464988,Hemiselmis andersenii,pluspf
0.02,2,0,R3,2611341,Metamonada,pluspf
0.02,2,0,P,5719,Parabasalia,pluspf
0.02,2,0,O,37104,Trichomonadida,pluspf
0.02,2,0,F,181550,Trichomonadidae,pluspf
0.02,2,0,G,5721,Trichomonas,pluspf
0.02,2,0,S,5722,Trichomonas vaginalis,pluspf
0.02,2,2,S1,412133,Trichomonas vaginalis G3,pluspf
0.01,1,0,R3,554915,Amoebozoa,pluspf
0.01,1,0,P,2605435,Evosea,pluspf
0.01,1,0,C,142796,Eumycetozoa,pluspf
0.01,1,0,C1,33083,Dictyostelia,pluspf
0.01,1,0,O,2058949,Dictyosteliales,pluspf
0.01,1,0,F,2058185,Dictyosteliaceae,pluspf
0.01,1,0,G,5782,Dictyostelium,pluspf
0.01,1,0,S,44689,Dictyostelium discoideum,pluspf
0.01,1,1,S1,352472,Dictyostelium discoideum AX4,pluspf
0.01,1,0,R3,2611352,Discoba,pluspf
0.01,1,0,P,33682,Euglenozoa,pluspf
0.01,1,0,C,5653,Kinetoplastea,pluspf
0.01,1,0,C1,2704647,Metakinetoplastina,pluspf
0.01,1,0,O,2704949,Trypanosomatida,pluspf
0.01,1,0,F,5654,Trypanosomatidae,pluspf
0.01,1,0,F1,1286322,Leishmaniinae,pluspf
0.01,1,0,G,2761499,Porcisia,pluspf
0.01,1,1,S,2761500,Porcisia hertigi,pluspf
4.77,477,64,2,2,Bacteria,pluspf
2.82,282,9,K,3379134,Pseudomonadati,pluspf
2.17,217,5,P,1224,Pseudomonadota,pluspf
1.81,181,21,C,1236,Gammaproteobacteria,pluspf
0.89,89,0,O,91347,Enterobacterales,pluspf
0.67,67,1,F,543,Enterobacteriaceae,pluspf
0.49,49,0,G,561,Escherichia,pluspf
0.49,49,48,S,562,Escherichia coli,pluspf
0.01,1,0,S1,83334,Escherichia coli O157:H7,pluspf
0.01,1,1,S2,155864,Escherichia coli O157:H7 str. EDL933,pluspf
0.15,15,0,F1,2890311,Klebsiella/Raoultella group,pluspf
0.15,15,0,G,570,Klebsiella,pluspf
0.15,15,0,G1,3390273,Klebsiella pneumoniae complex,pluspf
0.1,10,10,S,1463165,Klebsiella quasipneumoniae,pluspf
0.05,5,5,S,573,Klebsiella pneumoniae,pluspf
0.01,1,1,F1,36866,unclassified Enterobacteriaceae,pluspf
0.01,1,0,F1,191675,Enterobacteriaceae incertae sedis,pluspf
0.01,1,0,F2,84563,"ant, tsetse, mealybug, aphid, etc. endosymbionts",pluspf
0.01,1,0,G,1682492,Candidatus Tachikawaea,pluspf
0.01,1,1,S,1410383,Candidatus Tachikawaea gelatinosa,pluspf
0.11,11,0,F,1903414,Morganellaceae,pluspf
0.07,7,0,G,637,Arsenophonus,pluspf
0.07,7,7,S,638,Arsenophonus nasoniae,pluspf
0.02,2,0,G,586,Providencia,pluspf
0.01,1,1,S,588,Providencia stuartii,pluspf
0.01,1,1,S,333962,Providencia heimbachae,pluspf
0.01,1,0,G,583,Proteus,pluspf
0.01,1,1,S,183417,Proteus hauseri,pluspf
0.01,1,0,G,626,Xenorhabdus,pluspf
0.01,1,1,S,351679,Xenorhabdus hominickii,pluspf
0.1,10,0,F,1903409,Erwiniaceae,pluspf
0.07,7,0,G,32199,Buchnera,pluspf
0.07,7,0,S,9,Buchnera aphidicola,pluspf
0.05,5,5,S1,2911030,Buchnera aphidicola (Sipha maydis),pluspf
0.01,1,1,S1,1241835,Buchnera aphidicola (Aphis nerii),pluspf
0.01,1,1,S1,1241836,Buchnera aphidicola (Artemisaphis artemisicola),pluspf
0.02,2,0,G,551,Erwinia,pluspf
0.02,2,2,S,1922217,Candidatus Erwinia haradaeae,pluspf
0.01,1,0,G,53335,Pantoea,pluspf
0.01,1,1,S,470934,Pantoea vagans,pluspf
